condition,rate_hz,repetition,run_tag,file_name,nominal_seq_step,duration_s,effective_live_rate,n_rows_total,live_count,replay_count,history_requests,staleness_mean_ms,staleness_median_ms,staleness_p95_ms,staleness_max_ms,gaps_count,missing_samples,largest_gap,inter_arrival_mean_ms,inter_arrival_std_ms,inter_arrival_p95_ms,recovery_time_ms,recovered_by_replay,live_missing_total,replay_recovery_ratio
baseline,50,1,run_2026-03-24t00-48-15-351z,ui_log_baseline_r50_rep1.csv,4,69.191,50.20884219045829,3633,3474,150,1,25.316774498956534,14.578857421875,337.39459228515625,380.532958984375,386,427,42,19.82349553699971,14.857898359232264,20.399999999999636,54.0,7,427,0.01639344262295082
baseline,50,2,run_2026-03-24t02-06-40-522z,ui_log_baseline_r50_rep2.csv,4,68.185,50.20165725599472,3582,3423,150,1,-8.243051014620765,-16.21630859375,298.17568359374997,332.926025390625,388,428,41,19.824956165984805,14.78666523573696,21.0,46.0,19,428,0.04439252336448598
baseline,50,3,run_2026-03-24t02-25-51-688z,ui_log_baseline_r50_rep3.csv,4,64.104,50.106077623861225,3371,3212,150,1,3.7228892933238638,4.959228515625,283.08461914062497,336.4404296875,446,487,42,19.858922454064153,15.227773157932162,21.0,49.0,17,487,0.03490759753593429
baseline,100,1,run_2026-03-24t00-57-04-218z,ui_log_baseline_r100_rep1.csv,4,84.682,100.77702463333412,8843,8534,300,1,27.896786103517915,18.3848876953125,342.29333496093744,384.360107421875,73,157,85,9.885034571662956,9.99561682487208,16.0,43.0,83,157,0.5286624203821656
baseline,100,2,run_2026-03-24t02-15-40-864z,ui_log_baseline_r100_rep2.csv,4,65.464,100.2994011976048,6875,6566,300,1,-1.347214484120374,-0.910400390625,298.1875,334.338623046875,25,109,85,9.921401370906322,11.053533266346493,15.0,45.0,83,109,0.7614678899082569
baseline,100,3,run_2026-03-24t02-34-13-273z,ui_log_baseline_r100_rep3.csv,4,67.938,100.13541758662309,7112,6803,300,1,40.318064812858296,50.533935546875,298.829443359375,354.683349609375,42,124,83,9.935166127609527,10.247864838794085,15.0,2.0,29,124,0.23387096774193547
delay,50,1,run_2026-03-24t00-50-23-782z,ui_log_delay_r50_rep1.csv,4,71.006,9.900571782666253,862,703,150,1,33735.2802928854,33596.348876953125,59351.976733398435,62853.868896484375,28,35,8,100.55555555555556,31.890042300187496,100.0,46.0,1,35,0.02857142857142857
delay,50,2,run_2026-03-24t02-08-52-900z,ui_log_delay_r50_rep2.csv,4,71.296,9.958482944344702,869,710,150,1,32805.056208736794,32454.306030273438,58870.256311035155,61655.52587890625,3,10,8,99.95627644569817,30.526677333987863,100.0,50.0,8,10,0.8
delay,50,3,run_2026-03-24t02-27-48-601z,ui_log_delay_r50_rep3.csv,4,65.272,9.943007721534501,808,649,150,1,29611.6591036992,29389.76806640625,53746.39306640625,56314.64526367188,131,139,9,100.22993827160494,35.01540264301913,100.0,80.0,1,139,0.007194244604316547
delay,100,1,run_2026-03-24t01-01-16-426z,ui_log_delay_r100_rep1.csv,4,66.557,9.93133704944634,970,661,300,1,34482.23876066684,34414.207763671875,61666.119140625,64603.217041015625,22,30,9,100.30606060606061,34.429056079353785,101.0,57.0,6,30,0.2
delay,100,2,run_2026-03-24t02-17-29-438z,ui_log_delay_r100_rep2.csv,4,64.761,9.95969796636865,954,645,300,1,36371.58247940891,36307.185546875,62765.436718749996,65614.150390625,19,26,8,99.86645962732919,31.875743287840866,100.0,42.0,5,26,0.19230769230769232
delay,100,3,run_2026-03-24t02-35-55-748z,ui_log_delay_r100_rep3.csv,4,65.131,9.933825674410036,956,647,300,1,34451.61029231972,34434.571533203125,61049.20930175781,63910.94555664063,5,13,9,100.19814241486068,34.8406480455509,100.0,88.0,8,13,0.6153846153846154
disconnect_replay,50,1,run_2026-03-24t00-54-00-579z,ui_log_disconnect_r50_rep1.csv,4,74.915,48.84202095708469,3818,3659,150,1,-2.3151285651603923,-30.1298828125,330.26520996093745,371.2880859375,258,407,150,20.390650628758884,48.591945102693984,21.0,2107.0,13,407,0.03194103194103194
disconnect_replay,50,2,run_2026-03-24t02-12-57-506z,ui_log_disconnect_r50_rep2.csv,4,63.376,48.409492552385764,3227,3068,150,1,-5.840246088657105,-15.4945068359375,298.44306640625,328.9833984375,615,763,149,20.549722856211282,53.10007035197405,21.0,2114.0,9,763,0.011795543905635648
disconnect_replay,50,3,run_2026-03-24t02-31-19-824z,ui_log_disconnect_r50_rep3.csv,4,65.207,48.46105479473063,3319,3160,150,1,-7.028776917276503,-13.9161376953125,288.96779785156247,320.959716796875,210,359,150,20.537195314973093,52.364035403930316,21.0,2119.0,14,359,0.03899721448467967
disconnect_replay,100,1,run_2026-03-24t01-05-28-718z,ui_log_disconnect_r100_rep1.csv,4,70.97,97.46371706354797,7226,6917,300,1,8.750608392649,4.42724609375,317.63085937499983,375.43798828125,3,302,300,10.213996529786003,35.82705967069143,15.0,2134.0,86,302,0.2847682119205298
disconnect_replay,100,2,run_2026-03-24t02-21-02-928z,ui_log_disconnect_r100_rep2.csv,4,67.711,97.05956196186735,6881,6572,300,1,47.27676103699882,72.5435791015625,304.9390502929688,349.50537109375,668,967,300,10.253233906559123,36.20339258298247,15.0,2088.0,42,967,0.04343329886246122
disconnect_replay,100,3,run_2026-03-24t02-39-36-809z,ui_log_disconnect_r100_rep3.csv,4,65.482,96.83577166244159,6650,6341,300,1,31.5602701232554,39.724365234375,290.66357421875,326.91015625,41,340,300,10.275552050473186,37.093996842639704,15.0,2110.0,85,340,0.25
loss,50,1,run_2026-03-24t00-52-18-735z,ui_log_loss_r50_rep1.csv,4,67.633,47.93517957210238,3401,3242,150,1,34.308971557993715,39.2392578125,336.06652832031244,371.380859375,568,624,43,20.76211045973465,15.868825591959917,27.0,49.0,26,624,0.041666666666666664
