wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774318540864,run_start,,,,,,-1,run_2026-03-24T02-15-40-864Z,,,ws://localhost:8080/
1774318540865,ws_connect_attempt,,,,,,0,run_2026-03-24T02-15-40-864Z,,,ws://localhost:8080/
1774318541180,ws_open,,,,,,1,run_2026-03-24T02-15-40-864Z,,,
1774318541186,telemetry,live,1180,1774318541389627100,-203.627197265625,0,1,baseline_r100_rep2,,,
1774318541196,telemetry,live,1184,1774318541400598000,-204.597900390625,4,1,baseline_r100_rep2,,,
1774318541205,telemetry,live,1188,1774318541410250000,-205.25,4,1,baseline_r100_rep2,,,
1774318541218,telemetry,live,1192,1774318541419866400,-201.866455078125,4,1,baseline_r100_rep2,,,
1774318541231,telemetry,live,1196,1774318541429682000,-198.681884765625,4,1,baseline_r100_rep2,,,
1774318541234,telemetry,live,1200,1774318541439754200,-205.754150390625,4,1,baseline_r100_rep2,,,
1774318541249,telemetry,live,1204,1774318541449793300,-200.793212890625,4,1,baseline_r100_rep2,,,
1774318541254,telemetry,live,1207,1774318541459710700,-205.710693359375,3,1,baseline_r100_rep2,,,
1774318541280,telemetry,live,1212,1774318541469706000,-189.7060546875,5,1,baseline_r100_rep2,,,
1774318541298,telemetry,live,1216,1774318541479561700,-181.561767578125,4,1,baseline_r100_rep2,,,
1774318541315,telemetry,live,1220,1774318541489798100,-174.798095703125,4,1,baseline_r100_rep2,,,
1774318541317,telemetry,live,1224,1774318541499781400,-182.781494140625,4,1,baseline_r100_rep2,,,
1774318541334,telemetry,live,1228,1774318541509726700,-175.726806640625,4,1,baseline_r100_rep2,,,
1774318541336,telemetry,live,1231,1774318541519660500,-183.66064453125,3,1,baseline_r100_rep2,,,
1774318541337,telemetry,live,1235,1774318541529793000,-192.79296875,4,1,baseline_r100_rep2,,,
1774318541338,telemetry,live,1239,1774318541539661600,-201.66162109375,4,1,baseline_r100_rep2,,,
1774318541353,telemetry,live,1244,1774318541549632300,-196.63232421875,5,1,baseline_r100_rep2,,,
1774318541355,telemetry,live,1248,1774318541559724500,-204.724609375,4,1,baseline_r100_rep2,,,
1774318541363,telemetry,live,1252,1774318541569718500,-206.718505859375,4,1,baseline_r100_rep2,,,
1774318541378,telemetry,live,1256,1774318541579686000,-201.685791015625,4,1,baseline_r100_rep2,,,
1774318541400,telemetry,live,1260,1774318541589753000,-189.753173828125,4,1,baseline_r100_rep2,,,
1774318541401,telemetry,live,1263,1774318541599613400,-198.613525390625,3,1,baseline_r100_rep2,,,
1774318541403,telemetry,live,1268,1774318541609746400,-206.746337890625,5,1,baseline_r100_rep2,,,
1774318541424,telemetry,live,1272,1774318541619615000,-195.614990234375,4,1,baseline_r100_rep2,,,
1774318541447,telemetry,live,1276,1774318541629638100,-182.63818359375,4,1,baseline_r100_rep2,,,
1774318541449,telemetry,live,1280,1774318541639726000,-190.72607421875,4,1,baseline_r100_rep2,,,
1774318541450,telemetry,live,1284,1774318541649676500,-199.676513671875,4,1,baseline_r100_rep2,,,
1774318541470,telemetry,live,1288,1774318541659739400,-189.739501953125,4,1,baseline_r100_rep2,,,
1774318541471,telemetry,live,1291,1774318541669597400,-198.597412109375,3,1,baseline_r100_rep2,,,
1774318541473,telemetry,live,1296,1774318541679715300,-206.71533203125,5,1,baseline_r100_rep2,,,
