wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774319268602,run_start,,,,,,-1,run_2026-03-24T02-27-48-601Z,,,ws://localhost:8080/
1774319268602,ws_connect_attempt,,,,,,0,run_2026-03-24T02-27-48-601Z,,,ws://localhost:8080/
1774319268915,ws_open,,,,,,1,run_2026-03-24T02-27-48-601Z,,,
1774319268917,telemetry,live,364,1774319265052993000,3864.007080078125,0,1,delay_r50_rep3,,,
1774319269016,telemetry,live,367,1774319265073043000,3942.95703125,3,1,delay_r50_rep3,,,
1774319269114,telemetry,live,372,1774319265092975600,4021.0244140625,5,1,delay_r50_rep3,,,
1774319269212,telemetry,live,372,1774319265112821000,4099.178955078125,0,1,delay_r50_rep3,,,
1774319269311,telemetry,live,377,1774319265133032400,4177.967529296875,5,1,delay_r50_rep3,,,
1774319269409,telemetry,live,380,1774319265152831200,4256.168701171875,3,1,delay_r50_rep3,,,
1774319269508,telemetry,live,388,1774319265173021000,4334.97900390625,8,1,delay_r50_rep3,,,
1774319269606,telemetry,live,388,1774319265192871000,4413.129150390625,0,1,delay_r50_rep3,,,
1774319269705,telemetry,live,396,1774319265213004300,4491.99560546875,8,1,delay_r50_rep3,,,
1774319269803,telemetry,live,400,1774319265233085400,4569.91455078125,4,1,delay_r50_rep3,,,
1774319269901,telemetry,live,403,1774319265252856000,4648.14404296875,3,1,delay_r50_rep3,,,
1774319270000,telemetry,live,407,1774319265272724200,4727.27587890625,4,1,delay_r50_rep3,,,
1774319270098,telemetry,live,412,1774319265292892700,4805.107421875,5,1,delay_r50_rep3,,,
1774319270197,telemetry,live,415,1774319265312818000,4884.18212890625,3,1,delay_r50_rep3,,,
1774319270295,telemetry,live,418,1774319265332920000,4962.079833984375,3,1,delay_r50_rep3,,,
1774319270394,telemetry,live,423,1774319265352756500,5041.243408203125,5,1,delay_r50_rep3,,,
1774319270492,telemetry,live,426,1774319265372954000,5119.0458984375,3,1,delay_r50_rep3,,,
1774319270590,telemetry,live,431,1774319265392932000,5197.06787109375,5,1,delay_r50_rep3,,,
1774319270689,telemetry,live,434,1774319265412971300,5276.02880859375,3,1,delay_r50_rep3,,,
1774319270788,telemetry,live,437,1774319265432842200,5355.15771484375,3,1,delay_r50_rep3,,,
1774319270886,telemetry,live,444,1774319265453095700,5432.904296875,7,1,delay_r50_rep3,,,
1774319270984,telemetry,live,447,1774319265472808000,5511.192138671875,3,1,delay_r50_rep3,,,
1774319271084,telemetry,live,449,1774319265492913700,5591.08642578125,2,1,delay_r50_rep3,,,
1774319271182,telemetry,live,454,1774319265512933600,5669.06640625,5,1,delay_r50_rep3,,,
