wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774319479824,run_start,,,,,,-1,run_2026-03-24T02-31-19-824Z,,,ws://localhost:8080/
1774319479825,ws_connect_attempt,,,,,,0,run_2026-03-24T02-31-19-824Z,,,ws://localhost:8080/
1774319480133,ws_open,,,,,,1,run_2026-03-24T02-31-19-824Z,,,
1774319480142,telemetry,live,1208,1774319480147359700,-5.35986328125,0,1,disconnect_r50_rep3,,,
1774319480160,telemetry,live,1210,1774319480167457500,-7.45751953125,2,1,disconnect_r50_rep3,,,
1774319480180,telemetry,live,1214,1774319480187491800,-7.491943359375,4,1,disconnect_r50_rep3,,,
1774319480199,telemetry,live,1218,1774319480207412000,-8.411865234375,4,1,disconnect_r50_rep3,,,
1774319480219,telemetry,live,1221,1774319480227432000,-8.431884765625,3,1,disconnect_r50_rep3,,,
1774319480239,telemetry,live,1226,1774319480247508200,-8.50830078125,5,1,disconnect_r50_rep3,,,
1774319480258,telemetry,live,1229,1774319480267439600,-9.439697265625,3,1,disconnect_r50_rep3,,,
1774319480277,telemetry,live,1233,1774319480287458600,-10.45849609375,4,1,disconnect_r50_rep3,,,
1774319480298,telemetry,live,1238,1774319480307297800,-9.2978515625,5,1,disconnect_r50_rep3,,,
1774319480317,telemetry,live,1243,1774319480327329000,-10.3291015625,5,1,disconnect_r50_rep3,,,
1774319480337,telemetry,live,1246,1774319480347352800,-10.352783203125,3,1,disconnect_r50_rep3,,,
1774319480356,telemetry,live,1250,1774319480367271700,-11.271728515625,4,1,disconnect_r50_rep3,,,
1774319480377,telemetry,live,1254,1774319480387287300,-10.287353515625,4,1,disconnect_r50_rep3,,,
1774319480395,telemetry,live,1257,1774319480407324400,-12.324462890625,3,1,disconnect_r50_rep3,,,
1774319480415,telemetry,live,1263,1774319480427323400,-12.323486328125,6,1,disconnect_r50_rep3,,,
1774319480435,telemetry,live,1266,1774319480447363000,-12.363037109375,3,1,disconnect_r50_rep3,,,
1774319480454,telemetry,live,1270,1774319480467244800,-13.244873046875,4,1,disconnect_r50_rep3,,,
1774319480474,telemetry,live,1276,1774319480487340000,-14.340087890625,6,1,disconnect_r50_rep3,,,
1774319480494,telemetry,live,1279,1774319480507518500,-13.5185546875,3,1,disconnect_r50_rep3,,,
1774319480513,telemetry,live,1284,1774319480527448600,-14.448486328125,5,1,disconnect_r50_rep3,,,
1774319480532,telemetry,live,1286,1774319480547323000,-15.322998046875,2,1,disconnect_r50_rep3,,,
1774319480553,telemetry,live,1290,1774319480567497200,-14.497314453125,4,1,disconnect_r50_rep3,,,
1774319480572,telemetry,live,1292,1774319480587753700,-15.753662109375,2,1,disconnect_r50_rep3,,,
1774319480593,telemetry,live,1298,1774319480607411500,-14.411376953125,6,1,disconnect_r50_rep3,,,
1774319480612,telemetry,live,1303,1774319480627359700,-15.35986328125,5,1,disconnect_r50_rep3,,,
1774319480631,telemetry,live,1306,1774319480647381200,-16.38134765625,3,1,disconnect_r50_rep3,,,
1774319480650,telemetry,live,1310,1774319480667400000,-17.39990234375,4,1,disconnect_r50_rep3,,,
1774319480670,telemetry,live,1314,1774319480687310800,-17.310791015625,4,1,disconnect_r50_rep3,,,
1774319480693,telemetry,live,1317,1774319480707476500,-14.4765625,3,1,disconnect_r50_rep3,,,
1774319480717,telemetry,live,1320,1774319480727201000,-10.200927734375,3,1,disconnect_r50_rep3,,,
1774319480745,telemetry,live,1324,1774319480747432200,-2.43212890625,4,1,disconnect_r50_rep3,,,
1774319480770,telemetry,live,1330,1774319480767419000,2.5810546875,6,1,disconnect_r50_rep3,,,
1774319480795,telemetry,live,1334,1774319480787323400,7.676513671875,4,1,disconnect_r50_rep3,,,
1774319480796,telemetry,live,1337,1774319480807310000,-11.31005859375,3,1,disconnect_r50_rep3,,,
1774319480819,telemetry,live,1343,1774319480827409700,-8.40966796875,6,1,disconnect_r50_rep3,,,
1774319480845,telemetry,live,1346,1774319480847393000,-2.39306640625,3,1,disconnect_r50_rep3,,,
1774319480847,telemetry,live,1350,1774319480867372300,-20.372314453125,4,1,disconnect_r50_rep3,,,
1774319480873,telemetry,live,1354,1774319480887683800,-14.683837890625,4,1,disconnect_r50_rep3,,,
1774319480901,telemetry,live,1358,1774319480907437600,-6.4375,4,1,disconnect_r50_rep3,,,
1774319480932,telemetry,live,1362,1774319480927350300,4.649658203125,4,1,disconnect_r50_rep3,,,
1774319480995,telemetry,live,1366,1774319480947427800,47.572265625,4,1,disconnect_r50_rep3,,,
1774319481020,telemetry,live,1371,1774319480967448600,52.551513671875,5,1,disconnect_r50_rep3,,,
1774319481022,telemetry,live,1374,1774319480987420400,34.57958984375,3,1,disconnect_r50_rep3,,,
1774319481024,telemetry,live,1378,1774319481007503000,16.496826171875,4,1,disconnect_r50_rep3,,,
1774319481030,telemetry,live,1381,1774319481027423200,2.57666015625,3,1,disconnect_r50_rep3,,,
1774319481031,telemetry,live,1386,1774319481047406300,-16.40625,5,1,disconnect_r50_rep3,,,
1774319481042,telemetry,live,1390,1774319481067356200,-25.356201171875,4,1,disconnect_r50_rep3,,,
1774319481062,telemetry,live,1395,1774319481087356700,-25.356689453125,5,1,disconnect_r50_rep3,,,
1774319481081,telemetry,live,1398,1774319481107378400,-26.37841796875,3,1,disconnect_r50_rep3,,,
1774319481101,telemetry,live,1402,1774319481127370500,-26.37060546875,4,1,disconnect_r50_rep3,,,
1774319481121,telemetry,live,1405,1774319481147348000,-26.347900390625,3,1,disconnect_r50_rep3,,,
1774319481141,telemetry,live,1410,1774319481167444700,-26.44482421875,5,1,disconnect_r50_rep3,,,
1774319481160,telemetry,live,1413,1774319481187449000,-27.448974609375,3,1,disconnect_r50_rep3,,,
1774319481180,telemetry,live,1418,1774319481207661800,-27.661865234375,5,1,disconnect_r50_rep3,,,
1774319481199,telemetry,live,1420,1774319481227305500,-28.305419921875,2,1,disconnect_r50_rep3,,,
1774319481219,telemetry,live,1425,1774319481247499500,-28.49951171875,5,1,disconnect_r50_rep3,,,
1774319481239,telemetry,live,1429,1774319481267570000,-28.56982421875,4,1,disconnect_r50_rep3,,,
1774319481258,telemetry,live,1434,1774319481287467300,-29.46728515625,5,1,disconnect_r50_rep3,,,
1774319481278,telemetry,live,1438,1774319481307532500,-29.532470703125,4,1,disconnect_r50_rep3,,,
1774319481298,telemetry,live,1442,1774319481327582200,-29.582275390625,4,1,disconnect_r50_rep3,,,
1774319481317,telemetry,live,1446,1774319481347569200,-30.569091796875,4,1,disconnect_r50_rep3,,,
1774319481337,telemetry,live,1451,1774319481367494100,-30.494140625,5,1,disconnect_r50_rep3,,,
1774319481356,telemetry,live,1455,1774319481387509000,-31.509033203125,4,1,disconnect_r50_rep3,,,
1774319481376,telemetry,live,1459,1774319481407667500,-31.66748046875,4,1,disconnect_r50_rep3,,,
1774319481396,telemetry,live,1462,1774319481427432000,-31.431884765625,3,1,disconnect_r50_rep3,,,
1774319481415,telemetry,live,1466,1774319481447498800,-32.498779296875,4,1,disconnect_r50_rep3,,,
1774319481435,telemetry,live,1471,1774319481467456800,-32.456787109375,5,1,disconnect_r50_rep3,,,
1774319481454,telemetry,live,1473,1774319481487588400,-33.58837890625,2,1,disconnect_r50_rep3,,,
1774319481474,telemetry,live,1478,1774319481507582500,-33.58251953125,5,1,disconnect_r50_rep3,,,
1774319481494,telemetry,live,1482,1774319481527582200,-33.582275390625,4,1,disconnect_r50_rep3,,,
1774319481513,telemetry,live,1487,1774319481547462000,-34.4619140625,5,1,disconnect_r50_rep3,,,
1774319481533,telemetry,live,1490,1774319481567466500,-34.466552734375,3,1,disconnect_r50_rep3,,,
1774319481552,telemetry,live,1494,1774319481587573500,-35.573486328125,4,1,disconnect_r50_rep3,,,
1774319481572,telemetry,live,1499,1774319481607477200,-35.477294921875,5,1,disconnect_r50_rep3,,,
1774319481592,telemetry,live,1504,1774319481627661800,-35.661865234375,5,1,disconnect_r50_rep3,,,
1774319481611,telemetry,live,1505,1774319481647299000,-36.299072265625,1,1,disconnect_r50_rep3,,,
1774319481631,telemetry,live,1510,1774319481667405600,-36.405517578125,5,1,disconnect_r50_rep3,,,
1774319481650,telemetry,live,1515,1774319481687280000,-37.280029296875,5,1,disconnect_r50_rep3,,,
1774319481670,telemetry,live,1518,1774319481707573200,-37.5732421875,3,1,disconnect_r50_rep3,,,
1774319481689,telemetry,live,1520,1774319481727293700,-38.293701171875,2,1,disconnect_r50_rep3,,,
1774319481709,telemetry,live,1526,1774319481747653400,-38.6533203125,6,1,disconnect_r50_rep3,,,
1774319481729,telemetry,live,1530,1774319481767334400,-38.33447265625,4,1,disconnect_r50_rep3,,,
1774319481748,telemetry,live,1532,1774319481787399200,-39.399169921875,2,1,disconnect_r50_rep3,,,
1774319481768,telemetry,live,1536,1774319481807493000,-39.4931640625,4,1,disconnect_r50_rep3,,,
1774319481788,telemetry,live,1543,1774319481827596300,-39.59619140625,7,1,disconnect_r50_rep3,,,
1774319481807,telemetry,live,1547,1774319481847454700,-40.454833984375,4,1,disconnect_r50_rep3,,,
1774319481827,telemetry,live,1548,1774319481867698000,-40.697998046875,1,1,disconnect_r50_rep3,,,
1774319481847,telemetry,live,1553,1774319481887503600,-40.503662109375,5,1,disconnect_r50_rep3,,,
1774319481866,telemetry,live,1559,1774319481907656700,-41.65673828125,6,1,disconnect_r50_rep3,,,
1774319481885,telemetry,live,1562,1774319481927255000,-42.255126953125,3,1,disconnect_r50_rep3,,,
1774319481905,telemetry,live,1566,1774319481947280000,-42.27978515625,4,1,disconnect_r50_rep3,,,
1774319481925,telemetry,live,1571,1774319481967402000,-42.402099609375,5,1,disconnect_r50_rep3,,,
1774319481947,telemetry,live,1574,1774319481987467000,-40.467041015625,3,1,disconnect_r50_rep3,,,
1774319481964,telemetry,live,1578,1774319482007661300,-43.661376953125,4,1,disconnect_r50_rep3,,,
1774319481984,telemetry,live,1583,1774319482027441000,-43.44091796875,5,1,disconnect_r50_rep3,,,
1774319482004,telemetry,live,1585,1774319482047576300,-43.576416015625,2,1,disconnect_r50_rep3,,,
1774319482023,telemetry,live,1589,1774319482067391000,-44.390869140625,4,1,disconnect_r50_rep3,,,
1774319482043,telemetry,live,1595,1774319482087536400,-44.536376953125,6,1,disconnect_r50_rep3,,,
1774319482062,telemetry,live,1598,1774319482107466500,-45.466552734375,3,1,disconnect_r50_rep3,,,
1774319482082,telemetry,live,1602,1774319482127491000,-45.490966796875,4,1,disconnect_r50_rep3,,,
1774319482102,telemetry,live,1606,1774319482147458600,-46.45849609375,4,1,disconnect_r50_rep3,,,
1774319482123,telemetry,live,1611,1774319482167491000,-44.490966796875,5,1,disconnect_r50_rep3,,,
1774319482141,telemetry,live,1614,1774319482187642000,-46.64208984375,3,1,disconnect_r50_rep3,,,
1774319482161,telemetry,live,1616,1774319482207823400,-46.8232421875,2,1,disconnect_r50_rep3,,,
1774319482180,telemetry,live,1620,1774319482227120400,-47.120361328125,4,1,disconnect_r50_rep3,,,
1774319482199,telemetry,live,1625,1774319482247439400,-48.439453125,5,1,disconnect_r50_rep3,,,
1774319482219,telemetry,live,1629,1774319482267396900,-48.39697265625,4,1,disconnect_r50_rep3,,,
1774319482239,telemetry,live,1635,1774319482287652900,-48.65283203125,6,1,disconnect_r50_rep3,,,
1774319482259,telemetry,live,1637,1774319482307508200,-48.50830078125,2,1,disconnect_r50_rep3,,,
1774319482278,telemetry,live,1643,1774319482327541000,-49.541015625,6,1,disconnect_r50_rep3,,,
1774319482298,telemetry,live,1647,1774319482347620900,-49.620849609375,4,1,disconnect_r50_rep3,,,
1774319482317,telemetry,live,1649,1774319482367565800,-50.56591796875,2,1,disconnect_r50_rep3,,,
1774319482337,telemetry,live,1655,1774319482387588000,-50.588134765625,6,1,disconnect_r50_rep3,,,
1774319482356,telemetry,live,1657,1774319482407522000,-51.52197265625,2,1,disconnect_r50_rep3,,,
1774319482376,telemetry,live,1662,1774319482427355400,-51.35546875,5,1,disconnect_r50_rep3,,,
1774319482396,telemetry,live,1665,1774319482447680000,-51.679931640625,3,1,disconnect_r50_rep3,,,
1774319482418,telemetry,live,1670,1774319482467510800,-49.5107421875,5,1,disconnect_r50_rep3,,,
1774319482434,telemetry,live,1673,1774319482487390700,-53.390625,3,1,disconnect_r50_rep3,,,
1774319482454,telemetry,live,1678,1774319482507324700,-53.32470703125,5,1,disconnect_r50_rep3,,,
1774319482474,telemetry,live,1682,1774319482527508700,-53.5087890625,4,1,disconnect_r50_rep3,,,
1774319482493,telemetry,live,1687,1774319482547399400,-54.3994140625,5,1,disconnect_r50_rep3,,,
1774319482513,telemetry,live,1691,1774319482567399400,-54.3994140625,4,1,disconnect_r50_rep3,,,
1774319482533,telemetry,live,1694,1774319482587553300,-54.55322265625,3,1,disconnect_r50_rep3,,,
1774319482552,telemetry,live,1699,1774319482607739600,-55.73974609375,5,1,disconnect_r50_rep3,,,
1774319482572,telemetry,live,1701,1774319482627318500,-55.318603515625,2,1,disconnect_r50_rep3,,,
1774319482591,telemetry,live,1707,1774319482647406000,-56.406005859375,6,1,disconnect_r50_rep3,,,
1774319482611,telemetry,live,1708,1774319482667207200,-56.207275390625,1,1,disconnect_r50_rep3,,,
1774319482631,telemetry,live,1715,1774319482687539700,-56.539794921875,7,1,disconnect_r50_rep3,,,
1774319482650,telemetry,live,1718,1774319482707480600,-57.48046875,3,1,disconnect_r50_rep3,,,
1774319482670,telemetry,live,1720,1774319482727290000,-57.2900390625,2,1,disconnect_r50_rep3,,,
1774319482689,telemetry,live,1726,1774319482747339000,-58.339111328125,6,1,disconnect_r50_rep3,,,
1774319482711,telemetry,live,1731,1774319482767497200,-56.497314453125,5,1,disconnect_r50_rep3,,,
1774319482729,telemetry,live,1734,1774319482787630600,-58.630615234375,3,1,disconnect_r50_rep3,,,
1774319482749,telemetry,live,1739,1774319482807570200,-58.570068359375,5,1,disconnect_r50_rep3,,,
1774319482768,telemetry,live,1742,1774319482827569700,-59.569580078125,3,1,disconnect_r50_rep3,,,
1774319482790,telemetry,live,1746,1774319482847509200,-57.50927734375,4,1,disconnect_r50_rep3,,,
1774319482807,telemetry,live,1749,1774319482867408600,-60.40869140625,3,1,disconnect_r50_rep3,,,
1774319482827,telemetry,live,1754,1774319482887363800,-60.36376953125,5,1,disconnect_r50_rep3,,,
1774319482846,telemetry,live,1757,1774319482907430100,-61.43017578125,3,1,disconnect_r50_rep3,,,
1774319482866,telemetry,live,1762,1774319482927499000,-61.4990234375,5,1,disconnect_r50_rep3,,,
1774319482886,telemetry,live,1766,1774319482947595300,-61.59521484375,4,1,disconnect_r50_rep3,,,
1774319482905,telemetry,live,1771,1774319482967497700,-62.497802734375,5,1,disconnect_r50_rep3,,,
1774319482925,telemetry,live,1773,1774319482987305200,-62.30517578125,2,1,disconnect_r50_rep3,,,
1774319482945,telemetry,live,1778,1774319483007417000,-62.4169921875,5,1,disconnect_r50_rep3,,,
1774319482964,telemetry,live,1782,1774319483027448300,-63.4482421875,4,1,disconnect_r50_rep3,,,
1774319482984,telemetry,live,1786,1774319483047570200,-63.570068359375,4,1,disconnect_r50_rep3,,,
1774319483004,telemetry,live,1790,1774319483067625200,-63.625244140625,4,1,disconnect_r50_rep3,,,
1774319483023,telemetry,live,1795,1774319483087447600,-64.447509765625,5,1,disconnect_r50_rep3,,,
1774319483043,telemetry,live,1799,1774319483107612400,-64.6123046875,4,1,disconnect_r50_rep3,,,
1774319483063,telemetry,live,1802,1774319483127473200,-64.47314453125,3,1,disconnect_r50_rep3,,,
1774319483081,telemetry,live,1807,1774319483147327700,-66.32763671875,5,1,disconnect_r50_rep3,,,
1774319483101,telemetry,live,1809,1774319483167312400,-66.3125,2,1,disconnect_r50_rep3,,,
1774319483121,telemetry,live,1812,1774319483187436800,-66.436767578125,3,1,disconnect_r50_rep3,,,
1774319483141,telemetry,live,1818,1774319483207219700,-66.2197265625,6,1,disconnect_r50_rep3,,,
1774319483160,telemetry,live,1823,1774319483227638000,-67.637939453125,5,1,disconnect_r50_rep3,,,
1774319483180,telemetry,live,1825,1774319483247401000,-67.40087890625,2,1,disconnect_r50_rep3,,,
1774319483200,telemetry,live,1829,1774319483267534000,-68.5341796875,4,1,disconnect_r50_rep3,,,
1774319483219,telemetry,live,1834,1774319483287464000,-68.4638671875,5,1,disconnect_r50_rep3,,,
1774319483238,telemetry,live,1838,1774319483307453000,-69.452880859375,4,1,disconnect_r50_rep3,,,
1774319483258,telemetry,live,1842,1774319483327341600,-69.341552734375,4,1,disconnect_r50_rep3,,,
1774319483277,telemetry,live,1846,1774319483347316200,-70.316162109375,4,1,disconnect_r50_rep3,,,
1774319483297,telemetry,live,1849,1774319483367527700,-70.527587890625,3,1,disconnect_r50_rep3,,,
1774319483318,telemetry,live,1855,1774319483387578600,-69.57861328125,6,1,disconnect_r50_rep3,,,
1774319483337,telemetry,live,1858,1774319483407502300,-70.50244140625,3,1,disconnect_r50_rep3,,,
1774319483356,telemetry,live,1863,1774319483427420700,-71.420654296875,5,1,disconnect_r50_rep3,,,
1774319483376,telemetry,live,1867,1774319483447655700,-71.65576171875,4,1,disconnect_r50_rep3,,,
1774319483398,telemetry,live,1869,1774319483467463400,-69.46337890625,2,1,disconnect_r50_rep3,,,
1774319483415,telemetry,live,1874,1774319483487549700,-72.5498046875,5,1,disconnect_r50_rep3,,,
1774319483435,telemetry,live,1877,1774319483507538400,-72.538330078125,3,1,disconnect_r50_rep3,,,
1774319483454,telemetry,live,1882,1774319483527498200,-73.498291015625,5,1,disconnect_r50_rep3,,,
1774319483474,telemetry,live,1886,1774319483547497000,-73.4970703125,4,1,disconnect_r50_rep3,,,
1774319483494,telemetry,live,1890,1774319483567600000,-73.60009765625,4,1,disconnect_r50_rep3,,,
1774319483513,telemetry,live,1894,1774319483587664400,-74.664306640625,4,1,disconnect_r50_rep3,,,
1774319483533,telemetry,live,1899,1774319483607607300,-74.607177734375,5,1,disconnect_r50_rep3,,,
1774319483553,telemetry,live,1903,1774319483627529000,-74.529052734375,4,1,disconnect_r50_rep3,,,
1774319483575,telemetry,live,1906,1774319483647532500,-72.532470703125,3,1,disconnect_r50_rep3,,,
1774319483592,telemetry,live,1911,1774319483667591200,-75.591064453125,5,1,disconnect_r50_rep3,,,
1774319483612,telemetry,live,1915,1774319483687553300,-75.55322265625,4,1,disconnect_r50_rep3,,,
1774319483631,telemetry,live,1918,1774319483707516700,-76.5166015625,3,1,disconnect_r50_rep3,,,
1774319483650,telemetry,live,1922,1774319483727589600,-77.589599609375,4,1,disconnect_r50_rep3,,,
1774319483670,telemetry,live,1926,1774319483747510800,-77.5107421875,4,1,disconnect_r50_rep3,,,
1774319483690,telemetry,live,1931,1774319483767693600,-77.693603515625,5,1,disconnect_r50_rep3,,,
1774319483709,telemetry,live,1935,1774319483787548000,-78.5478515625,4,1,disconnect_r50_rep3,,,
1774319483729,telemetry,live,1938,1774319483807376100,-78.376220703125,3,1,disconnect_r50_rep3,,,
1774319483748,telemetry,live,1942,1774319483827514600,-79.5146484375,4,1,disconnect_r50_rep3,,,
1774319483768,telemetry,live,1945,1774319483847461400,-79.46142578125,3,1,disconnect_r50_rep3,,,
1774319483788,telemetry,live,1950,1774319483867463200,-79.463134765625,5,1,disconnect_r50_rep3,,,
1774319483807,telemetry,live,1953,1774319483887400700,-80.400634765625,3,1,disconnect_r50_rep3,,,
1774319483827,telemetry,live,1958,1774319483907596000,-80.595947265625,5,1,disconnect_r50_rep3,,,
1774319483847,telemetry,live,1962,1774319483927650300,-80.650390625,4,1,disconnect_r50_rep3,,,
1774319483866,telemetry,live,1966,1774319483947615700,-81.61572265625,4,1,disconnect_r50_rep3,,,
1774319483886,telemetry,live,1971,1774319483967613200,-81.61328125,5,1,disconnect_r50_rep3,,,
1774319483905,telemetry,live,1974,1774319483987532500,-82.532470703125,3,1,disconnect_r50_rep3,,,
1774319483925,telemetry,live,1979,1774319484007409700,-82.40966796875,5,1,disconnect_r50_rep3,,,
1774319483945,telemetry,live,1983,1774319484027626200,-82.626220703125,4,1,disconnect_r50_rep3,,,
1774319483964,telemetry,live,1986,1774319484047540000,-83.5400390625,3,1,disconnect_r50_rep3,,,
1774319483984,telemetry,live,1991,1774319484067495000,-83.494873046875,5,1,disconnect_r50_rep3,,,
1774319484003,telemetry,live,1994,1774319484087570400,-84.5703125,3,1,disconnect_r50_rep3,,,
1774319484023,telemetry,live,1998,1774319484107542300,-84.542236328125,4,1,disconnect_r50_rep3,,,
1774319484042,telemetry,live,2002,1774319484127536400,-85.536376953125,4,1,disconnect_r50_rep3,,,
1774319484062,telemetry,live,2006,1774319484147431200,-85.43115234375,4,1,disconnect_r50_rep3,,,
1774319484086,telemetry,live,2010,1774319484167475200,-81.47509765625,4,1,disconnect_r50_rep3,,,
1774319484101,telemetry,live,2015,1774319484187699700,-86.69970703125,5,1,disconnect_r50_rep3,,,
1774319484130,telemetry,live,2018,1774319484207425800,-77.42578125,3,1,disconnect_r50_rep3,,,
1774319484142,telemetry,live,2022,1774319484227303200,-85.30322265625,4,1,disconnect_r50_rep3,,,
1774319484160,telemetry,live,2027,1774319484247467300,-87.46728515625,5,1,disconnect_r50_rep3,,,
1774319484179,telemetry,live,2030,1774319484267453700,-88.45361328125,3,1,disconnect_r50_rep3,,,
1774319484199,telemetry,live,2034,1774319484287465700,-88.4658203125,4,1,disconnect_r50_rep3,,,
1774319484219,telemetry,live,2037,1774319484307554000,-88.553955078125,3,1,disconnect_r50_rep3,,,
1774319484238,telemetry,live,2042,1774319484327364900,-89.36474609375,5,1,disconnect_r50_rep3,,,
1774319484258,telemetry,live,2046,1774319484347631400,-89.63134765625,4,1,disconnect_r50_rep3,,,
1774319484277,telemetry,live,2050,1774319484367497000,-90.4970703125,4,1,disconnect_r50_rep3,,,
1774319484297,telemetry,live,2054,1774319484387467000,-90.467041015625,4,1,disconnect_r50_rep3,,,
1774319484317,telemetry,live,2058,1774319484407437800,-90.437744140625,4,1,disconnect_r50_rep3,,,
1774319484336,telemetry,live,2061,1774319484427579400,-91.579345703125,3,1,disconnect_r50_rep3,,,
1774319484356,telemetry,live,2066,1774319484447459600,-91.45947265625,5,1,disconnect_r50_rep3,,,
1774319484376,telemetry,live,2070,1774319484467435500,-91.435546875,4,1,disconnect_r50_rep3,,,
1774319484395,telemetry,live,2074,1774319484487520800,-92.520751953125,4,1,disconnect_r50_rep3,,,
1774319484415,telemetry,live,2079,1774319484507442000,-92.44189453125,5,1,disconnect_r50_rep3,,,
