wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774318754014,run_start,,,,,,-1,run_2026-03-24T02-19-14-014Z,,,ws://localhost:8080/
1774318754015,ws_connect_attempt,,,,,,0,run_2026-03-24T02-19-14-014Z,,,ws://localhost:8080/
1774318754326,ws_open,,,,,,1,run_2026-03-24T02-19-14-014Z,,,
1774318754331,telemetry,live,2594,1774318754361258000,-30.258056640625,0,1,loss_r100_rep2,,,
1774318754337,telemetry,live,2599,1774318754371465200,-34.46533203125,5,1,loss_r100_rep2,,,
1774318754346,telemetry,live,2602,1774318754381541400,-35.541259765625,3,1,loss_r100_rep2,,,
1774318754357,telemetry,live,2608,1774318754391574800,-34.57470703125,6,1,loss_r100_rep2,,,
1774318754374,telemetry,live,2611,1774318754401493500,-27.493408203125,3,1,loss_r100_rep2,,,
1774318754375,telemetry,live,2615,1774318754411528000,-36.52783203125,4,1,loss_r100_rep2,,,
1774318754393,telemetry,live,2619,1774318754421729500,-28.7294921875,4,1,loss_r100_rep2,,,
1774318754396,telemetry,live,2623,1774318754431537700,-35.53759765625,4,1,loss_r100_rep2,,,
1774318754412,telemetry,live,2627,1774318754441751600,-29.75146484375,4,1,loss_r100_rep2,,,
1774318754430,telemetry,live,2631,1774318754451524900,-21.52490234375,4,1,loss_r100_rep2,,,
1774318754431,telemetry,live,2635,1774318754461539800,-30.539794921875,4,1,loss_r100_rep2,,,
1774318754447,telemetry,live,2636,1774318754471700700,-24.70068359375,1,1,loss_r100_rep2,,,
1774318754467,telemetry,live,2643,1774318754481589000,-14.589111328125,7,1,loss_r100_rep2,,,
1774318754468,telemetry,live,2647,1774318754491607600,-23.607666015625,4,1,loss_r100_rep2,,,
1774318754469,telemetry,live,2651,1774318754501492200,-32.4921875,4,1,loss_r100_rep2,,,
1774318754484,telemetry,live,2656,1774318754511620000,-27.6201171875,5,1,loss_r100_rep2,,,
1774318754485,telemetry,live,2659,1774318754521589800,-36.58984375,3,1,loss_r100_rep2,,,
1774318754505,telemetry,live,2663,1774318754531530800,-26.53076171875,4,1,loss_r100_rep2,,,
1774318754507,telemetry,live,2667,1774318754542187500,-35.1875,4,1,loss_r100_rep2,,,
1774318754525,telemetry,live,2671,1774318754551509200,-26.50927734375,4,1,loss_r100_rep2,,,
1774318754527,telemetry,live,2675,1774318754561584400,-34.58447265625,4,1,loss_r100_rep2,,,
1774318754547,telemetry,live,2679,1774318754571504000,-24.504150390625,4,1,loss_r100_rep2,,,
1774318754548,telemetry,live,2683,1774318754581569800,-33.56982421875,4,1,loss_r100_rep2,,,
1774318754572,telemetry,live,2687,1774318754591526400,-19.5263671875,4,1,loss_r100_rep2,,,
1774318754597,telemetry,live,2691,1774318754601709300,-4.709228515625,4,1,loss_r100_rep2,,,
